#,Gender?,College,"Whiskey Sour","Old Fashion","Whiskey Coke","Pickle Back","Tequila Sunrise",Margarita,Freddy Fudpucker,"Bacardi Cocktail","Rum and Coke",Mojito,Daiquiri,Malibu,"Blue Hawaii","Mai Tai",Gimlet,"Gin and Tonic","French 75","White Russian","Cran Vodka",Appletini,Cosmo,"Blue Guy",Screwdriver,"Moscow Mule","Lemon Drop","Sex on the Beach",Mimosa,"Long Island","SF Slide","Please add you favorite drinks we may have missed (seperate multiple values with a ',')","Start Date (UTC)","Submit Date (UTC)","Network ID"
9a53450748961fe2e649ab6eb0458696,Female,"College of Engineering","Don't Know",Like,"Don't Know",Like,Dislike,Like,Dislike,Like,Like,"Don't Know",Like,"Don't Know","Don't Know",Like,"Don't Know",Like,"Don't Know","Don't Know","Don't Know",Like,"Don't Know","Don't Know","Don't Know",Like,"Don't Know",Like,Like,"Don't Know","Don't Know",,"2016-10-05 18:16:51","2016-10-05 18:18:56",4bc46197e9
50ed474171e88ef85ef10e497e3e2b59,Male,Other,Like,Dislike,Dislike,Like,Like,Like,"Don't Know","Don't Know",Dislike,Dislike,Like,Like,Like,Like,"Don't Know",Like,"Don't Know",Like,Like,Like,Like,"Don't Know",Like,Like,Like,Like,Like,Like,"Don't Know",,"2016-10-05 18:03:01","2016-10-05 18:19:34",a8d06f5533
eed16fa630a8f3b3953a8aa1b897509a,Male,"College of LAS","Don't Know",Like,Like,"Don't Know",Like,Like,Dislike,"Don't Know",Like,Like,Like,Dislike,"Don't Know",Dislike,Like,Like,"Don't Know",Like,Dislike,"Don't Know",Like,Like,Like,"Don't Know","Don't Know",Like,Like,Like,Dislike,,"2016-10-05 18:17:31","2016-10-05 18:19:45",9ebdde3f82
466b2634798a42d14afc504b8695e9c5,Male,Other,Dislike,Like,Like,Dislike,Like,Like,"Don't Know",Like,Like,Like,"Don't Know",Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,"Don't Know","Don't Know","John Daly
","2016-10-05 18:17:26","2016-10-05 18:19:46",fe0d70e4b2
858388db5dca368395c9032b8157fcbb,Male,"College of Engineering",Like,Like,Like,Like,Like,Like,"Don't Know",Dislike,Like,Like,"Don't Know",Dislike,"Don't Know",Dislike,"Don't Know",Like,"Don't Know","Don't Know",Dislike,Dislike,Dislike,Like,Like,Like,Dislike,"Don't Know",Like,Like,"Don't Know","Breakfast Shot","2016-10-05 18:16:44","2016-10-05 18:20:41",ec562e4797
44a44d3d09903d417b8a5f0fda872080,Female,Other,"Don't Know",Like,Like,Dislike,Like,Like,Like,Like,Like,Like,"Don't Know",Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,"Baileys and coffee","2016-10-05 18:19:38","2016-10-05 18:24:12",da64b4b706
2c1921a246e9c70c95e50f63c00930f2,Male,"College of Engineering",Like,"Don't Know",Like,Like,Like,Like,"Don't Know",Like,Like,Dislike,Like,Like,Like,Like,"Don't Know",Dislike,"Don't Know",Like,Like,"Don't Know",Dislike,Like,Like,"Don't Know","Don't Know",Like,Like,Like,"Don't Know","Sour Apple Long Island","2016-10-05 18:22:50","2016-10-05 18:24:20",797dcfdbcb
2b9f408fe00037576ea0ccd4ef6248fd,Male,"College of Engineering",Dislike,Dislike,Like,Dislike,Like,Like,"Don't Know",Like,Like,Like,Like,Like,Like,Like,Like,Like,"Don't Know",Like,Like,Like,"Don't Know",Like,"Don't Know",Like,"Don't Know","Don't Know",Like,Like,"Don't Know",,"2016-10-05 18:24:21","2016-10-05 18:26:18",6d026557a6
eb55b5141cff3fd28182bef5e920ef98,Male,"College of Business",Dislike,Like,Like,Dislike,Like,Like,"Don't Know","Don't Know",Like,Dislike,Like,"Don't Know","Don't Know",Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,"Don't Know","Vodka red bull ","2016-10-05 18:24:38","2016-10-05 18:26:55",f5d265b0aa
22fbce5ac97792b2c5ec031a5629731f,Female,"College of Engineering",Dislike,Dislike,Dislike,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,"Don't Know","Don't Know","Don't Know","Don't Know",Like,Like,"Don't Know","Don't Know",Like,Like,"Don't Know","Don't Know",Like,"Don't Know",Like,"Don't Know",,"2016-10-05 18:25:50","2016-10-05 18:27:41",55dddd05cb
